# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-0.4886000000+0.0000000000j,0.8293957217+0.0000000000j,0.0014879824+0.0000000000j,0.0010178074+0.0000000000j,0.0010179663+0.0000000000j
-0.4885333333+0.0000000000j,0.8293764850+0.0000000000j,0.0014966580+0.0000000000j,0.0010201242+0.0000000000j,0.0010202836+0.0000000000j
-0.4884666667+0.0000000000j,0.8293572491+0.0000000000j,0.0015053333+0.0000000000j,0.0010224458+0.0000000000j,0.0010226058+0.0000000000j
-0.4884000000+0.0000000000j,0.8293380139+0.0000000000j,0.0015140082+0.0000000000j,0.0010247722+0.0000000000j,0.0010249328+0.0000000000j
-0.4883333333+0.0000000000j,0.8293187794+0.0000000000j,0.0015226829+0.0000000000j,0.0010271036+0.0000000000j,0.0010272648+0.0000000000j
-0.4882666667+0.0000000000j,0.8292995456+0.0000000000j,0.0015313572+0.0000000000j,0.0010294399+0.0000000000j,0.0010296016+0.0000000000j
-0.4882000000+0.0000000000j,0.8292803125+0.0000000000j,0.0015400313+0.0000000000j,0.0010317810+0.0000000000j,0.0010319433+0.0000000000j
-0.4881333333+0.0000000000j,0.8292610802+0.0000000000j,0.0015487050+0.0000000000j,0.0010341271+0.0000000000j,0.0010342900+0.0000000000j
-0.4880666667+0.0000000000j,0.8292418485+0.0000000000j,0.0015573785+0.0000000000j,0.0010364781+0.0000000000j,0.0010366416+0.0000000000j
-0.4880000000+0.0000000000j,0.8292226176+0.0000000000j,0.0015660516+0.0000000000j,0.0010388341+0.0000000000j,0.0010389981+0.0000000000j
-0.4879333333+0.0000000000j,0.8292033874+0.0000000000j,0.0015747245+0.0000000000j,0.0010411950+0.0000000000j,0.0010413595+0.0000000000j
