# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-0.4938000000+0.0000000000j,0.4227026575+0.0000000000j,0.4270704033+0.0000000000j,0.0008513704+0.0000000000j,0.0008514911+0.0000000000j
-0.4937333333+0.0000000000j,0.4226972864+0.0000000000j,0.4270648935+0.0000000000j,0.0008533346+0.0000000000j,0.0008534557+0.0000000000j
-0.4936666667+0.0000000000j,0.4226919168+0.0000000000j,0.4270593857+0.0000000000j,0.0008553030+0.0000000000j,0.0008554245+0.0000000000j
-0.4936000000+0.0000000000j,0.4226865488+0.0000000000j,0.4270538798+0.0000000000j,0.0008572755+0.0000000000j,0.0008573975+0.0000000000j
-0.4935333333+0.0000000000j,0.4226811820+0.0000000000j,0.4270483756+0.0000000000j,0.0008592523+0.0000000000j,0.0008593747+0.0000000000j
-0.4934666667+0.0000000000j,0.4226758162+0.0000000000j,0.4270428729+0.0000000000j,0.0008612333+0.0000000000j,0.0008613561+0.0000000000j
-0.4934000000+0.0000000000j,0.4226704512+0.0000000000j,0.4270373712+0.0000000000j,0.0008632186+0.0000000000j,0.0008633418+0.0000000000j
-0.4933333333+0.0000000000j,0.4226650867+0.0000000000j,0.4270318701+0.0000000000j,0.0008652080+0.0000000000j,0.0008653317+0.0000000000j
-0.4932666667+0.0000000000j,0.4226597222+0.0000000000j,0.4270263691+0.0000000000j,0.0008672017+0.0000000000j,0.0008673258+0.0000000000j
-0.4932000000+0.0000000000j,0.4226543576+0.0000000000j,0.4270208680+0.0000000000j,0.0008691997+0.0000000000j,0.0008693242+0.0000000000j
-0.4931333333+0.0000000000j,0.4226489925+0.0000000000j,0.4270153662+0.0000000000j,0.0008712019+0.0000000000j,0.0008713269+0.0000000000j
-0.4930666667+0.0000000000j,0.4226436267+0.0000000000j,0.4270098634+0.0000000000j,0.0008732084+0.0000000000j,0.0008733338+0.0000000000j
-0.4930000000+0.0000000000j,0.4226382601+0.0000000000j,0.4270043593+0.0000000000j,0.0008752192+0.0000000000j,0.0008753450+0.0000000000j
-0.4929333333+0.0000000000j,0.4226328924+0.0000000000j,0.4269988538+0.0000000000j,0.0008772342+0.0000000000j,0.0008773605+0.0000000000j
-0.4928666667+0.0000000000j,0.4226275237+0.0000000000j,0.4269933469+0.0000000000j,0.0008792535+0.0000000000j,0.0008793803+0.0000000000j
-0.4928000000+0.0000000000j,0.4226221542+0.0000000000j,0.4269878386+0.0000000000j,0.0008812772+0.0000000000j,0.0008814044+0.0000000000j
-0.4927333333+0.0000000000j,0.4226167838+0.0000000000j,0.4269823290+0.0000000000j,0.0008833051+0.0000000000j,0.0008834328+0.0000000000j
-0.4926666667+0.0000000000j,0.4226114129+0.0000000000j,0.4269768185+0.0000000000j,0.0008853374+0.0000000000j,0.0008854655+0.0000000000j
-0.4926000000+0.0000000000j,0.4226060416+0.0000000000j,0.4269713074+0.0000000000j,0.0008873740+0.0000000000j,0.0008875025+0.0000000000j
-0.4925333333+0.0000000000j,0.4226006704+0.0000000000j,0.4269657960+0.0000000000j,0.0008894149+0.0000000000j,0.0008895439+0.0000000000j
-0.4924666667+0.0000000000j,0.4225952996+0.0000000000j,0.4269602850+0.0000000000j,0.0008914601+0.0000000000j,0.0008915896+0.0000000000j
-0.4924000000+0.0000000000j,0.4225899294+0.0000000000j,0.4269547746+0.0000000000j,0.0008935097+0.0000000000j,0.0008936397+0.0000000000j
-0.4923333333+0.0000000000j,0.4225845602+0.0000000000j,0.4269492654+0.0000000000j,0.0008955637+0.0000000000j,0.0008956941+0.0000000000j
-0.4922666667+0.0000000000j,0.4225791923+0.0000000000j,0.4269437577+0.0000000000j,0.0008976221+0.0000000000j,0.0008977529+0.0000000000j
-0.4922000000+0.0000000000j,0.4225738259+0.0000000000j,0.4269382518+0.0000000000j,0.0008996848+0.0000000000j,0.0008998161+0.0000000000j
-0.4921333333+0.0000000000j,0.4225684610+0.0000000000j,0.4269327479+0.0000000000j,0.0009017519+0.0000000000j,0.0009018837+0.0000000000j
-0.4920666667+0.0000000000j,0.4225630977+0.0000000000j,0.4269272462+0.0000000000j,0.0009038234+0.0000000000j,0.0009039556+0.0000000000j
-0.4920000000+0.0000000000j,0.4225577361+0.0000000000j,0.4269217465+0.0000000000j,0.0009058992+0.0000000000j,0.0009060320+0.0000000000j
-0.4919333333+0.0000000000j,0.4225523760+0.0000000000j,0.4269162489+0.0000000000j,0.0009079795+0.0000000000j,0.0009081128+0.0000000000j
-0.4918666667+0.0000000000j,0.4225470172+0.0000000000j,0.4269107531+0.0000000000j,0.0009100643+0.0000000000j,0.0009101979+0.0000000000j
-0.4918000000+0.0000000000j,0.4225416596+0.0000000000j,0.4269052587+0.0000000000j,0.0009121534+0.0000000000j,0.0009122876+0.0000000000j
-0.4917333333+0.0000000000j,0.4225363027+0.0000000000j,0.4268997654+0.0000000000j,0.0009142470+0.0000000000j,0.0009143816+0.0000000000j
-0.4916666667+0.0000000000j,0.4225309462+0.0000000000j,0.4268942728+0.0000000000j,0.0009163450+0.0000000000j,0.0009164801+0.0000000000j
-0.4916000000+0.0000000000j,0.4225255898+0.0000000000j,0.4268887803+0.0000000000j,0.0009184475+0.0000000000j,0.0009185831+0.0000000000j
-0.4915333333+0.0000000000j,0.4225202333+0.0000000000j,0.4268832875+0.0000000000j,0.0009205544+0.0000000000j,0.0009206905+0.0000000000j
