# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-1.9808000000+0.0000000000j,0.4948487248+0.0000000000j,0.4907806389+0.0000000000j,0.0008110771+0.0000000000j,0.0008111891+0.0000000000j
-1.9805333333+0.0000000000j,0.4948483861+0.0000000000j,0.4907803067+0.0000000000j,0.0008129551+0.0000000000j,0.0008130674+0.0000000000j
-1.9802666667+0.0000000000j,0.4948480467+0.0000000000j,0.4907799755+0.0000000000j,0.0008148371+0.0000000000j,0.0008149498+0.0000000000j
-1.9800000000+0.0000000000j,0.4948477066+0.0000000000j,0.4907796451+0.0000000000j,0.0008167231+0.0000000000j,0.0008168363+0.0000000000j
-1.9797333333+0.0000000000j,0.4948473668+0.0000000000j,0.4907793144+0.0000000000j,0.0008186132+0.0000000000j,0.0008187267+0.0000000000j
-1.9794666667+0.0000000000j,0.4948470271+0.0000000000j,0.4907789825+0.0000000000j,0.0008205073+0.0000000000j,0.0008206213+0.0000000000j
-1.9792000000+0.0000000000j,0.4948466877+0.0000000000j,0.4907786498+0.0000000000j,0.0008224055+0.0000000000j,0.0008225198+0.0000000000j
-1.9789333333+0.0000000000j,0.4948463490+0.0000000000j,0.4907783174+0.0000000000j,0.0008243077+0.0000000000j,0.0008244225+0.0000000000j
-1.9786666667+0.0000000000j,0.4948460099+0.0000000000j,0.4907779860+0.0000000000j,0.0008262140+0.0000000000j,0.0008263292+0.0000000000j
-1.9784000000+0.0000000000j,0.4948456699+0.0000000000j,0.4907776555+0.0000000000j,0.0008281244+0.0000000000j,0.0008282400+0.0000000000j
-1.9781333333+0.0000000000j,0.4948453299+0.0000000000j,0.4907773249+0.0000000000j,0.0008300389+0.0000000000j,0.0008301549+0.0000000000j
-1.9778666667+0.0000000000j,0.4948449902+0.0000000000j,0.4907769933+0.0000000000j,0.0008319575+0.0000000000j,0.0008320739+0.0000000000j
-1.9776000000+0.0000000000j,0.4948446508+0.0000000000j,0.4907766607+0.0000000000j,0.0008338802+0.0000000000j,0.0008339970+0.0000000000j
-1.9773333333+0.0000000000j,0.4948443120+0.0000000000j,0.4907763281+0.0000000000j,0.0008358070+0.0000000000j,0.0008359242+0.0000000000j
-1.9770666667+0.0000000000j,0.4948439731+0.0000000000j,0.4907759964+0.0000000000j,0.0008377379+0.0000000000j,0.0008378556+0.0000000000j
-1.9768000000+0.0000000000j,0.4948436332+0.0000000000j,0.4907756657+0.0000000000j,0.0008396729+0.0000000000j,0.0008397910+0.0000000000j
-1.9765333333+0.0000000000j,0.4948432931+0.0000000000j,0.4907753352+0.0000000000j,0.0008416121+0.0000000000j,0.0008417306+0.0000000000j
-1.9762666667+0.0000000000j,0.4948429534+0.0000000000j,0.4907750038+0.0000000000j,0.0008435555+0.0000000000j,0.0008436744+0.0000000000j
-1.9760000000+0.0000000000j,0.4948426139+0.0000000000j,0.4907746715+0.0000000000j,0.0008455030+0.0000000000j,0.0008456223+0.0000000000j
-1.9757333333+0.0000000000j,0.4948422749+0.0000000000j,0.4907743388+0.0000000000j,0.0008474546+0.0000000000j,0.0008475744+0.0000000000j
-1.9754666667+0.0000000000j,0.4948419362+0.0000000000j,0.4907740068+0.0000000000j,0.0008494104+0.0000000000j,0.0008495306+0.0000000000j
-1.9752000000+0.0000000000j,0.4948415965+0.0000000000j,0.4907736759+0.0000000000j,0.0008513704+0.0000000000j,0.0008514911+0.0000000000j
-1.9749333333+0.0000000000j,0.4948412563+0.0000000000j,0.4907733454+0.0000000000j,0.0008533346+0.0000000000j,0.0008534557+0.0000000000j
-1.9746666667+0.0000000000j,0.4948409166+0.0000000000j,0.4907730145+0.0000000000j,0.0008553030+0.0000000000j,0.0008554245+0.0000000000j
-1.9744000000+0.0000000000j,0.4948405770+0.0000000000j,0.4907726824+0.0000000000j,0.0008572755+0.0000000000j,0.0008573975+0.0000000000j
-1.9741333333+0.0000000000j,0.4948402379+0.0000000000j,0.4907723496+0.0000000000j,0.0008592523+0.0000000000j,0.0008593747+0.0000000000j
-1.9738666667+0.0000000000j,0.4948398992+0.0000000000j,0.4907720174+0.0000000000j,0.0008612333+0.0000000000j,0.0008613561+0.0000000000j
-1.9736000000+0.0000000000j,0.4948395598+0.0000000000j,0.4907716863+0.0000000000j,0.0008632186+0.0000000000j,0.0008633418+0.0000000000j
-1.9733333333+0.0000000000j,0.4948392196+0.0000000000j,0.4907713560+0.0000000000j,0.0008652080+0.0000000000j,0.0008653317+0.0000000000j
-1.9730666667+0.0000000000j,0.4948388798+0.0000000000j,0.4907710253+0.0000000000j,0.0008672017+0.0000000000j,0.0008673258+0.0000000000j
-1.9728000000+0.0000000000j,0.4948385402+0.0000000000j,0.4907706935+0.0000000000j,0.0008691997+0.0000000000j,0.0008693242+0.0000000000j
-1.9725333333+0.0000000000j,0.4948382009+0.0000000000j,0.4907703608+0.0000000000j,0.0008712019+0.0000000000j,0.0008713269+0.0000000000j
-1.9722666667+0.0000000000j,0.4948378622+0.0000000000j,0.4907700284+0.0000000000j,0.0008732084+0.0000000000j,0.0008733338+0.0000000000j
-1.9720000000+0.0000000000j,0.4948375231+0.0000000000j,0.4907696971+0.0000000000j,0.0008752192+0.0000000000j,0.0008753450+0.0000000000j
-1.9717333333+0.0000000000j,0.4948371830+0.0000000000j,0.4907693666+0.0000000000j,0.0008772342+0.0000000000j,0.0008773605+0.0000000000j
-1.9714666667+0.0000000000j,0.4948368430+0.0000000000j,0.4907690361+0.0000000000j,0.0008792535+0.0000000000j,0.0008793803+0.0000000000j
-1.9712000000+0.0000000000j,0.4948365034+0.0000000000j,0.4907687046+0.0000000000j,0.0008812772+0.0000000000j,0.0008814044+0.0000000000j
-1.9709333333+0.0000000000j,0.4948361639+0.0000000000j,0.4907683720+0.0000000000j,0.0008833051+0.0000000000j,0.0008834328+0.0000000000j
-1.9706666667+0.0000000000j,0.4948358252+0.0000000000j,0.4907680395+0.0000000000j,0.0008853374+0.0000000000j,0.0008854655+0.0000000000j
-1.9704000000+0.0000000000j,0.4948354863+0.0000000000j,0.4907677078+0.0000000000j,0.0008873740+0.0000000000j,0.0008875025+0.0000000000j
-1.9701333333+0.0000000000j,0.4948351464+0.0000000000j,0.4907673771+0.0000000000j,0.0008894149+0.0000000000j,0.0008895439+0.0000000000j
-1.9698666667+0.0000000000j,0.4948348062+0.0000000000j,0.4907670467+0.0000000000j,0.0008914601+0.0000000000j,0.0008915896+0.0000000000j
-1.9696000000+0.0000000000j,0.4948344666+0.0000000000j,0.4907667155+0.0000000000j,0.0008935097+0.0000000000j,0.0008936397+0.0000000000j
-1.9693333333+0.0000000000j,0.4948341271+0.0000000000j,0.4907663831+0.0000000000j,0.0008955637+0.0000000000j,0.0008956941+0.0000000000j
-1.9690666667+0.0000000000j,0.4948337881+0.0000000000j,0.4907660504+0.0000000000j,0.0008976221+0.0000000000j,0.0008977529+0.0000000000j
-1.9688000000+0.0000000000j,0.4948334495+0.0000000000j,0.4907657185+0.0000000000j,0.0008996848+0.0000000000j,0.0008998161+0.0000000000j
-1.9685333333+0.0000000000j,0.4948331097+0.0000000000j,0.4907653876+0.0000000000j,0.0009017519+0.0000000000j,0.0009018837+0.0000000000j
-1.9682666667+0.0000000000j,0.4948327695+0.0000000000j,0.4907650572+0.0000000000j,0.0009038234+0.0000000000j,0.0009039556+0.0000000000j
-1.9680000000+0.0000000000j,0.4948324298+0.0000000000j,0.4907647264+0.0000000000j,0.0009058992+0.0000000000j,0.0009060320+0.0000000000j
-1.9677333333+0.0000000000j,0.4948320903+0.0000000000j,0.4907643943+0.0000000000j,0.0009079795+0.0000000000j,0.0009081128+0.0000000000j
-1.9674666667+0.0000000000j,0.4948317511+0.0000000000j,0.4907640616+0.0000000000j,0.0009100643+0.0000000000j,0.0009101979+0.0000000000j
-1.9672000000+0.0000000000j,0.4948314125+0.0000000000j,0.4907637295+0.0000000000j,0.0009121534+0.0000000000j,0.0009122876+0.0000000000j
-1.9669333333+0.0000000000j,0.4948310731+0.0000000000j,0.4907633984+0.0000000000j,0.0009142470+0.0000000000j,0.0009143816+0.0000000000j
-1.9666666667+0.0000000000j,0.4948307329+0.0000000000j,0.4907630681+0.0000000000j,0.0009163450+0.0000000000j,0.0009164801+0.0000000000j
-1.9664000000+0.0000000000j,0.4948303931+0.0000000000j,0.4907627375+0.0000000000j,0.0009184475+0.0000000000j,0.0009185831+0.0000000000j
-1.9661333333+0.0000000000j,0.4948300535+0.0000000000j,0.4907624058+0.0000000000j,0.0009205544+0.0000000000j,0.0009206905+0.0000000000j
-1.9658666667+0.0000000000j,0.4948297142+0.0000000000j,0.4907620732+0.0000000000j,0.0009226658+0.0000000000j,0.0009228023+0.0000000000j
-1.9656000000+0.0000000000j,0.4948293755+0.0000000000j,0.4907617408+0.0000000000j,0.0009247817+0.0000000000j,0.0009249187+0.0000000000j
-1.9653333333+0.0000000000j,0.4948290364+0.0000000000j,0.4907614095+0.0000000000j,0.0009269020+0.0000000000j,0.0009270396+0.0000000000j
-1.9650666667+0.0000000000j,0.4948286963+0.0000000000j,0.4907610791+0.0000000000j,0.0009290269+0.0000000000j,0.0009291649+0.0000000000j
-1.9648000000+0.0000000000j,0.4948283563+0.0000000000j,0.4907607487+0.0000000000j,0.0009311563+0.0000000000j,0.0009312948+0.0000000000j
-1.9645333333+0.0000000000j,0.4948280167+0.0000000000j,0.4907604172+0.0000000000j,0.0009332901+0.0000000000j,0.0009334291+0.0000000000j
-1.9642666667+0.0000000000j,0.4948276773+0.0000000000j,0.4907600847+0.0000000000j,0.0009354285+0.0000000000j,0.0009355680+0.0000000000j
-1.9640000000+0.0000000000j,0.4948273386+0.0000000000j,0.4907597521+0.0000000000j,0.0009375714+0.0000000000j,0.0009377114+0.0000000000j
-1.9637333333+0.0000000000j,0.4948269997+0.0000000000j,0.4907594205+0.0000000000j,0.0009397189+0.0000000000j,0.0009398594+0.0000000000j
-1.9634666667+0.0000000000j,0.4948266597+0.0000000000j,0.4907590899+0.0000000000j,0.0009418709+0.0000000000j,0.0009420119+0.0000000000j
-1.9632000000+0.0000000000j,0.4948263196+0.0000000000j,0.4907587595+0.0000000000j,0.0009440275+0.0000000000j,0.0009441689+0.0000000000j
-1.9629333333+0.0000000000j,0.4948259800+0.0000000000j,0.4907584284+0.0000000000j,0.0009461886+0.0000000000j,0.0009463306+0.0000000000j
-1.9626666667+0.0000000000j,0.4948256405+0.0000000000j,0.4907580961+0.0000000000j,0.0009483543+0.0000000000j,0.0009484968+0.0000000000j
-1.9624000000+0.0000000000j,0.4948253016+0.0000000000j,0.4907577634+0.0000000000j,0.0009505246+0.0000000000j,0.0009506676+0.0000000000j
-1.9621333333+0.0000000000j,0.4948249629+0.0000000000j,0.4907574315+0.0000000000j,0.0009526995+0.0000000000j,0.0009528429+0.0000000000j
-1.9618666667+0.0000000000j,0.4948246231+0.0000000000j,0.4907571007+0.0000000000j,0.0009548789+0.0000000000j,0.0009550229+0.0000000000j
-1.9616000000+0.0000000000j,0.4948242829+0.0000000000j,0.4907567704+0.0000000000j,0.0009570630+0.0000000000j,0.0009572075+0.0000000000j
-1.9613333333+0.0000000000j,0.4948239433+0.0000000000j,0.4907564396+0.0000000000j,0.0009592517+0.0000000000j,0.0009593967+0.0000000000j
-1.9610666667+0.0000000000j,0.4948236037+0.0000000000j,0.4907561076+0.0000000000j,0.0009614450+0.0000000000j,0.0009615905+0.0000000000j
-1.9608000000+0.0000000000j,0.4948232646+0.0000000000j,0.4907557750+0.0000000000j,0.0009636430+0.0000000000j,0.0009637890+0.0000000000j
-1.9605333333+0.0000000000j,0.4948229260+0.0000000000j,0.4907554428+0.0000000000j,0.0009658456+0.0000000000j,0.0009659921+0.0000000000j
-1.9602666667+0.0000000000j,0.4948225865+0.0000000000j,0.4907551118+0.0000000000j,0.0009680528+0.0000000000j,0.0009681999+0.0000000000j
-1.9600000000+0.0000000000j,0.4948222463+0.0000000000j,0.4907547816+0.0000000000j,0.0009702647+0.0000000000j,0.0009704123+0.0000000000j
-1.9597333333+0.0000000000j,0.4948219065+0.0000000000j,0.4907544511+0.0000000000j,0.0009724813+0.0000000000j,0.0009726294+0.0000000000j
-1.9594666667+0.0000000000j,0.4948215670+0.0000000000j,0.4907541194+0.0000000000j,0.0009747026+0.0000000000j,0.0009748512+0.0000000000j
-1.9592000000+0.0000000000j,0.4948212277+0.0000000000j,0.4907537868+0.0000000000j,0.0009769285+0.0000000000j,0.0009770777+0.0000000000j
-1.9589333333+0.0000000000j,0.4948208891+0.0000000000j,0.4907534545+0.0000000000j,0.0009791592+0.0000000000j,0.0009793088+0.0000000000j
-1.9586666667+0.0000000000j,0.4948205499+0.0000000000j,0.4907531232+0.0000000000j,0.0009813945+0.0000000000j,0.0009815447+0.0000000000j
-1.9584000000+0.0000000000j,0.4948202097+0.0000000000j,0.4907527929+0.0000000000j,0.0009836346+0.0000000000j,0.0009837853+0.0000000000j
-1.9581333333+0.0000000000j,0.4948198698+0.0000000000j,0.4907524625+0.0000000000j,0.0009858794+0.0000000000j,0.0009860306+0.0000000000j
-1.9578666667+0.0000000000j,0.4948195303+0.0000000000j,0.4907521312+0.0000000000j,0.0009881289+0.0000000000j,0.0009882807+0.0000000000j
-1.9576000000+0.0000000000j,0.4948191908+0.0000000000j,0.4907517987+0.0000000000j,0.0009903831+0.0000000000j,0.0009905355+0.0000000000j
-1.9573333333+0.0000000000j,0.4948188521+0.0000000000j,0.4907514661+0.0000000000j,0.0009926422+0.0000000000j,0.0009927950+0.0000000000j
-1.9570666667+0.0000000000j,0.4948185133+0.0000000000j,0.4907511346+0.0000000000j,0.0009949059+0.0000000000j,0.0009950593+0.0000000000j
-1.9568000000+0.0000000000j,0.4948181732+0.0000000000j,0.4907508040+0.0000000000j,0.0009971745+0.0000000000j,0.0009973284+0.0000000000j
-1.9565333333+0.0000000000j,0.4948178331+0.0000000000j,0.4907504737+0.0000000000j,0.0009994478+0.0000000000j,0.0009996023+0.0000000000j
-1.9562666667+0.0000000000j,0.4948174936+0.0000000000j,0.4907501427+0.0000000000j,0.0010017259+0.0000000000j,0.0010018809+0.0000000000j
-1.9560000000+0.0000000000j,0.4948171541+0.0000000000j,0.4907498104+0.0000000000j,0.0010040088+0.0000000000j,0.0010041644+0.0000000000j
-1.9557333333+0.0000000000j,0.4948168152+0.0000000000j,0.4907494778+0.0000000000j,0.0010062965+0.0000000000j,0.0010064526+0.0000000000j
-1.9554666667+0.0000000000j,0.4948164766+0.0000000000j,0.4907491459+0.0000000000j,0.0010085890+0.0000000000j,0.0010087457+0.0000000000j
-1.9552000000+0.0000000000j,0.4948161367+0.0000000000j,0.4907488151+0.0000000000j,0.0010108864+0.0000000000j,0.0010110436+0.0000000000j
-1.9549333333+0.0000000000j,0.4948157964+0.0000000000j,0.4907484849+0.0000000000j,0.0010131885+0.0000000000j,0.0010133463+0.0000000000j
-1.9546666667+0.0000000000j,0.4948154569+0.0000000000j,0.4907481542+0.0000000000j,0.0010154956+0.0000000000j,0.0010156539+0.0000000000j
-1.9544000000+0.0000000000j,0.4948151174+0.0000000000j,0.4907478223+0.0000000000j,0.0010178074+0.0000000000j,0.0010179663+0.0000000000j
-1.9541333333+0.0000000000j,0.4948147783+0.0000000000j,0.4907474897+0.0000000000j,0.0010201242+0.0000000000j,0.0010202836+0.0000000000j
-1.9538666667+0.0000000000j,0.4948144397+0.0000000000j,0.4907471575+0.0000000000j,0.0010224458+0.0000000000j,0.0010226058+0.0000000000j
-1.9536000000+0.0000000000j,0.4948141002+0.0000000000j,0.4907468266+0.0000000000j,0.0010247722+0.0000000000j,0.0010249328+0.0000000000j
-1.9533333333+0.0000000000j,0.4948137598+0.0000000000j,0.4907464964+0.0000000000j,0.0010271036+0.0000000000j,0.0010272648+0.0000000000j
-1.9530666667+0.0000000000j,0.4948134202+0.0000000000j,0.4907461660+0.0000000000j,0.0010294399+0.0000000000j,0.0010296016+0.0000000000j
-1.9528000000+0.0000000000j,0.4948130807+0.0000000000j,0.4907458344+0.0000000000j,0.0010317810+0.0000000000j,0.0010319433+0.0000000000j
-1.9525333333+0.0000000000j,0.4948127414+0.0000000000j,0.4907455018+0.0000000000j,0.0010341271+0.0000000000j,0.0010342900+0.0000000000j
-1.9522666667+0.0000000000j,0.4948124028+0.0000000000j,0.4907451695+0.0000000000j,0.0010364781+0.0000000000j,0.0010366416+0.0000000000j
-1.9520000000+0.0000000000j,0.4948120636+0.0000000000j,0.4907448383+0.0000000000j,0.0010388341+0.0000000000j,0.0010389981+0.0000000000j
-1.9517333333+0.0000000000j,0.4948117234+0.0000000000j,0.4907445081+0.0000000000j,0.0010411950+0.0000000000j,0.0010413595+0.0000000000j
